id,message
0,TRANSFER  globus_ftp_client: the server responded with an error 431 Internal error   
3,Error on XrdCl::CopyProcess::Run(): [ERROR] Server responded with an error: [3010] Write permission denied 
4,TRANSFER  globus_ftp_client: the server responded with an error 452 All pools are full   
6,DESTINATION SRM_PUT_TURL error on the turl  request : [SE][StatusOfPutRequest][SRM_EXCEED_ALLOCATION] Space associated with the space token 2310037 is not enough to hold SURL. 
7,TRANSFER  Operation canceled from gfal2_cancel
10,Error on XrdCl::CopyProcess::Run(): [ERROR] Server responded with an error: [3009] Copy failed; unable to pass credentials. 
11,Protocol not supported or path/url invalid: root://eosatlas.cern.ch:1094//eos/atlas/atlasscratchdisk/rucio/tests/e0/52/file19_85f76c29-ce98-427e-a153-5e42d32ac5ee
12,TRANSFER  globus_ftp_client: the server responded with an error 452 All pools are full   
13,globus_ftp_client: the server responded with an error 500 500-Command failed : System error in stat: No such file or directory  500-A system call failed: No such file or directory  500 End.   
14,Error on XrdCl::CopyProcess::Run(): [ERROR] Server responded with an error: [3010] Write permission denied 
15,DESTINATION SRM_PUT_TURL error on the turl  request : [SE][StatusOfPutRequest][SRM_EXCEED_ALLOCATION] Space associated with the space token 2310037 is not enough to hold SURL. 
16,DESTINATION CHECKSUM Operation timed out
17,DESTINATION CHECKSUM Operation timed out
18,DESTINATION CHECKSUM Operation timed out
19,DESTINATION CHECKSUM checksum calculation for ADLER32 not supported for davs://tbn18.nikhef.nl:443/dpm/nikhef.nl/home/atlas/atlasscratchdisk/rucio/tests/0b/33/file2_9d3915d9-aece-43fd-8d63-a5c98687a329
20,DESTINATION CHECKSUM checksum calculation for ADLER32 not supported for davs://tbn18.nikhef.nl:443/dpm/nikhef.nl/home/atlas/atlasscratchdisk/rucio/tests/25/de/file19_95328285-745b-499d-b5b3-12126bcdba9a
21,DESTINATION CHECKSUM checksum calculation for ADLER32 not supported for davs://tbn18.nikhef.nl:443/dpm/nikhef.nl/home/atlas/atlasscratchdisk/rucio/tests/78/5c/file9_5019aba3-9685-4939-9eb3-97c421015e15
22,DESTINATION CHECKSUM checksum calculation for ADLER32 not supported for davs://tbn18.nikhef.nl:443/dpm/nikhef.nl/home/atlas/atlasscratchdisk/rucio/tests/7b/29/file4_e7f4e12c-f9b3-4d4a-b5bf-e6f0c37765b4
23,DESTINATION CHECKSUM checksum calculation for ADLER32 not supported for davs://tbn18.nikhef.nl:443/dpm/nikhef.nl/home/atlas/atlasscratchdisk/rucio/tests/7d/d4/file22_41a0e9c4-9e8d-4d48-b123-be0d5e75e70f
24,DESTINATION CHECKSUM checksum calculation for ADLER32 not supported for davs://tbn18.nikhef.nl:443/dpm/nikhef.nl/home/atlas/atlasscratchdisk/rucio/tests/b2/33/file23_2c4146e6-e196-49e1-b0f1-fae5d8c69f21
25,DESTINATION CHECKSUM checksum calculation for ADLER32 not supported for davs://tbn18.nikhef.nl:443/dpm/nikhef.nl/home/atlas/atlasscratchdisk/rucio/tests/b7/2b/file23_ff6b3cb5-a4f3-404d-8c20-bb236f5aae8b
26,DESTINATION CHECKSUM checksum calculation for ADLER32 not supported for davs://tbn18.nikhef.nl:443/dpm/nikhef.nl/home/atlas/atlasscratchdisk/rucio/tests/eb/ec/file22_ab73d0a3-4b88-40b5-9a28-59a5bb7f7bc9
27,DESTINATION CHECKSUM globus_ftp_client: the operation was aborted 
28,DESTINATION CHECKSUM globus_ftp_client: the server responded with an error 451 451-GlobusError: v=1 c=INTERNAL_ERROR  451-GridFTP-Errno: 0  451-GridFTP-Reason: System error in name  451-GridFTP-Error-String: Success  451 End.   
29,DESTINATION CHECKSUM globus_xio: System error in recv: Connection reset by peer globus_xio: A system call failed: Connection reset by peer 
30,DESTINATION OVERWRITE   Connection timed out
31,DESTINATION OVERWRITE   Result Could not connect to server after 1 attempts
32,DESTINATION OVERWRITE   Result Could not connect to server after 1 attempts
33,DESTINATION OVERWRITE   Result Could not connect to server after 1 attempts
34,DESTINATION OVERWRITE   Result Could not connect to server after 1 attempts
35,DESTINATION OVERWRITE   Result Could not connect to server after 1 attempts
36,DESTINATION OVERWRITE   Result Could not connect to server after 1 attempts
70,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/data/Run2016B_ver2/HTMHT/NANOAOD/Nano1June2019_ver2-v1/60000/9625C356-1FC6-A24E-940B-97889C7C9545.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
71,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/data/Run2016B_ver2/HTMHT/NANOAOD/Nano1June2019_ver2-v1/60000/A0421B71-0E51-664A-86D8-4575045709E3.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
72,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/data/Run2016B_ver2/HighMultiplicityEOF/NANOAOD/Nano1June2019_ver2-v1/40000/CD27F74B-8474-EC49-AB48-9955ED8EB89A.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
73,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/data/Run2016G/SinglePhoton/NANOAOD/Nano1June2019-v1/70000/477CE4FF-A715-C542-89FA-7144B4528DD7.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
74,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/data/Run2017D/Charmonium/NANOAOD/Nano1June2019-v1/30000/02DF9F13-3405-264C-B68C-D86125970B3C.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
75,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/data/Run2018A/JetHT/NANOAOD/Nano1June2019-v2/30000/C38059AA-E329-B740-B9CE-A9D1222F0017.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
76,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/data/Run2018C/Charmonium/NANOAOD/Nano1June2019-v1/40000/1031C54E-F8D9-964C-86A8-17457BA6D498.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
77,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/BsToMuMuPhi_BMuonFilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/260000/820FC8EE-9ED8-3C47-8436-A48CFAADA9CF.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
78,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/ChargedHiggsToCB_M085_TuneCP5_PSweights_13TeV-madgraph-pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/260000/AB85AEA3-9947-0C4F-B604-0BE18E41BA9C.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
79,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/GluGluToHiggs0McontinToZZTo2e2tau_M125_GaSM_13TeV_MCFM701_pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/270000/1C1B856A-B855-C14C-9FE1-F793B167F3D4.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
