,cluster_name,cluster_size,pattern,sequence,mean_similarity,std_similarity
36,41,21436,Payload execution error: returned non-zero,"['Payload', 'execution', 'error', ':', 'returned', 'non-zero']",1.0,0.0
35,40,10838,JOB id=adc-job-ac-cc*-k*s-*-custom-sched-* not found,"['JOB', 'id=adc-job-ac-cc*-k*s-*-custom-sched-*', 'not', 'found']",1.0,0.0
1,1,9293,"Condor HoldReason: CREAM error: BLAH error: submission command failed (exit code = *) (stdout :) (: stderr: : qsub: Maximum number of jobs already in queue MSG=total number of jobs in queue exceeds the queue limit: user atlasp @, @ lapp-ce*.in*p*.fr queue, queue atlasMC*-","['Condor', 'HoldReason', ':', 'CREAM', 'error', ':', 'BLAH', 'error', ':', 'submission', 'command', 'failed', '(', 'exit', 'code', '=', '*', ')', '(', 'stdout', ':', ')', '(', ':', 'stderr', ':', ':', 'qsub', ':', 'Maximum', 'number', 'of', 'jobs', 'already', 'in', 'queue', 'MSG=total', 'number', 'of', 'jobs', 'in', 'queue', 'exceeds', 'the', 'queue', 'limit', ':', 'user', 'atlasp', '@', ',', '@', 'lapp-ce*.in*p*.fr', 'queue', ',', 'queue', 'atlasMC*-']",0.99,0.05
5,13,7880,LRMS error: (-*) Job) Job missing SLURM missing from from SLURM SLURM,"['LRMS', 'error', ':', '(', '-*', ')', 'Job', ')', 'Job', 'missing', 'SLURM', 'missing', 'from', 'from', 'SLURM', 'SLURM']",0.63,0.16
33,39,7771,submission failed: Exception OSError: [Errno *] No space left on device,"['submission', 'failed', ':', 'Exception', 'OSError', ':', '[', 'Errno', '*', ']', 'No', 'space', 'left', 'on', 'device']",1.0,0.0
37,5,3935,Condor HoldReason: Unspecified error; gridmanager; Worker Worker error canceled; canceled by by Worker harvester canceled harvester due due to by to held harvester too held due to too long held or long too or not long found not found or not found,"['Condor', 'HoldReason', ':', 'Unspecified', 'error', ';', 'gridmanager', ';', 'Worker', 'Worker', 'error', 'canceled', ';', 'canceled', 'by', 'by', 'Worker', 'harvester', 'canceled', 'harvester', 'due', 'due', 'to', 'by', 'to', 'held', 'harvester', 'too', 'held', 'due', 'to', 'too', 'long', 'held', 'or', 'long', 'too', 'or', 'not', 'long', 'found', 'not', 'found', 'or', 'not', 'found']",0.87,0.12
28,34,3048,"Condor HoldReason: HTCondor-CE held job due to no matching routes, route job limit, or route failure threshold; see 'HTCondor-CE * Guide'; Worker canceled by harvester due to held too long or not found","['Condor', 'HoldReason', ':', 'HTCondor-CE', 'held', 'job', 'due', 'to', 'no', 'matching', 'routes', ',', 'route', 'job', 'limit', ',', 'or', 'route', 'failure', 'threshold', ';', 'see', ""'HTCondor-CE"", '*', 'Guide', ""'"", ';', 'Worker', 'canceled', 'by', 'harvester', 'due', 'to', 'held', 'too', 'long', 'or', 'not', 'found']",0.99,0.03
40,8,2204,Condor HoldReason: CREAM error: Transfer failed: globus_ftp_client: the server responded with an error *: *-Command failed.: : failed. globus_l_gfs_file_open failed. *-globus_xio: Unable to open file *_sandbox*_Robot__ATLAS_Pilot*_CN_*,"['Condor', 'HoldReason', ':', 'CREAM', 'error', ':', 'Transfer', 'failed', ':', 'globus_ftp_client', ':', 'the', 'server', 'responded', 'with', 'an', 'error', '*', ':', '*-Command', 'failed.', ':', ':', 'failed.', 'globus_l_gfs_file_open', 'failed.', '*-globus_xio', ':', 'Unable', 'to', 'open', 'file', '*_sandbox*_Robot__ATLAS_Pilot*_CN_*']",0.99,0.04
38,6,2116,Failed in data staging: Failed source to * prepare Failed Failed to * source: Failed to * to: Failed prepare to prepare: source: Resource temporarily unavailable: File requests,"['Failed', 'in', 'data', 'staging', ':', 'Failed', 'source', 'to', '*', 'prepare', 'Failed', 'Failed', 'to', '*', 'source', ':', 'Failed', 'to', '*', 'to', ':', 'Failed', 'prepare', 'to', 'prepare', ':', 'source', ':', 'Resource', 'temporarily', 'unavailable', ':', 'File', 'requests']",0.9,0.15
32,38,1981,* not submitted due to incomplete data of the worker,"['*', 'not', 'submitted', 'due', 'to', 'incomplete', 'data', 'of', 'the', 'worker']",1.0,0.0
